"strain"	"country"
"OM258630.1|1953"	"USA"
"KF289073.1|1956"	"India"
"KU050695.1|1956"	"Philippines"
"JQ922547.1|1960"	"Thailand"
"JF262783.1|1961"	"India"
"JQ922558.1|1962"	"India"
"JQ922544.1|1963"	"India"
"JQ922554.1|1963"	"USA"
"OK469357.1|1963"	"USA"
"OR389302.1|1963"	"Thailand"
"OR389310.1|1963"	"India"
"MW945844.1|1964"	"Thailand"
"GQ868591.1|1964"	"Thailand"
"KM190937.1|1964"	"Philippines"
"EF105388.1|1966"	"Nigeria"
"JQ922555.1|1966"	"India"
"OR389336.1|1966"	"India"
"OR389318.1|1969"	"Malaysia"
"EF105379.1|1970"	"Malaysia"
"OR389284.1|1970"	"India"
"JQ922546.1|1971"	"India"
"EF457905.1|1972"	"Malaysia"
"OK469355.1|1973"	"Myanmar"
"MW945636.1|1973"	"Indonesia"
"OR389042.1|1973"	"Malaysia"
"MW946478.1|1974"	"India"
"EF105385.1|1974"	"Senegal"
"GQ398263.1|1975"	"Indonesia"
"GQ398258.1|1975"	"Indonesia"
"JF262779.1|1975"	"Malaysia"
"EF457906.1|1975"	"Malaysia"
"OR389043.1|1975"	"Malaysia"
"OR389044.1|1975"	"Malaysia"
"OK469356.1|1976"	"Myanmar"
"OK469358.1|1976"	"Myanmar"
"KX812530.1|1976"	"Indonesia"
"GQ398257.1|1977"	"Indonesia"
"MW946955.1|1978"	"Indonesia"
"FJ196849.1|1978"	"China"
"JQ922559.1|1979"	"India"
"MW946138.1|1980"	"Thailand"
"OR389023.1|1980"	"Cote_D'Ivoire"
"AY732483.1|1981"	"Thailand"
"OK469346.1|1981"	"Jamaica"
"AY732481.1|1982"	"Thailand"
"JQ922545.1|1982"	"India"
"OK605753.1|1983"	"Australia"
"OQ061266.1|1983"	"Sri_Lanka"
"KJ737430.1|1983"	"Thailand"
"OK605769.1|1983"	"Senegal"
"KF955477.1|1984"	"India"
"OR389338.1|1984"	"Indonesia"
"GQ868601.1|1985"	"British_Virgin_Islands"
"DQ181803.1|1985"	"Thailand"
"OK469345.1|1985"	"Myanmar"
"OR389286.1|1985"	"India"
"OR389290.1|1985"	"Indonesia"
"JN638336.1|1986"	"Thailand"
"OR389273.1|1986"	"Brazil"
"GQ868603.1|1987"	"USA"
"OR389328.1|1987"	"Taiwan"
"OR389346.1|1987"	"El_Salvador"
"OK469347.1|1988"	"Palau"
"OK605760.1|1988"	"Philippines"
"MW946461.1|1988"	"Thailand"
"OR389275.1|1988"	"Colombia"
"OR389317.1|1988"	"Indonesia"
"OK469354.1|1989"	"Thailand"
"JN638337.1|1990"	"Thailand"
"JN638342.1|1990"	"Thailand"
"FJ898450.1|1990"	"USA"
"DQ181801.1|1990"	"Thailand"
"MW946691.1|1992"	"Fiji"
"FJ410184.1|1993"	"USA"
"OK469352.1|1993"	"Singapore"
"FJ882573.1|1993"	"Sri_Lanka"
"AB608789.1|1994"	"Taiwan"
"MW945926.1|1994"	"Thailand"
"MW945840.1|1994"	"Thailand"
"MW946369.1|1994"	"Thailand"
"MW946422.1|1994"	"Thailand"
"GQ398269.1|1994"	"USA"
"JX966379.1|1994"	"Mexico"
"FJ882576.1|1994"	"Nicaragua"
"MW945663.1|1994"	"Thailand"
"MW946203.1|1995"	"Thailand"
"MW946016.1|1995"	"Thailand"
"MW946014.1|1995"	"Thailand"
"MW945841.1|1995"	"Thailand"
"MW945829.1|1995"	"Thailand"
"KF955439.1|1995"	"USA"
"KY586675.1|1995"	"Thailand"
"MW946284.1|1995"	"Thailand"
"FJ898456.1|1995"	"Samoa"
"DQ675519.1|1995"	"Taiwan"
"KY586938.1|1995"	"Thailand"
"OK469362.1|1995"	"Singapore"
"MW946134.1|1996"	"Thailand"
"MW946093.1|1996"	"Thailand"
"MW946065.1|1996"	"Thailand"
"MW946420.1|1996"	"Thailand"
"KF744407.1|1996"	"Philippines"
"EU726775.1|1996"	"Venezuela"
"MW946575.1|1996"	"Peru"
"MW945619.1|1996"	"Thailand"
"MW946178.1|1997"	"Thailand"
"MW945835.1|1997"	"Thailand"
"FJ196847.1|1997"	"China"
"OK469342.1|1997"	"Malaysia"
"FJ639735.1|1997"	"Venezuela"
"OK605754.1|1997"	"Brazil"
"JX669469.1|1997"	"Brazil"
"OQ061315.1|1997"	"Sri_Lanka"
"MW946590.1|1997"	"Thailand"
"MW946551.1|1997"	"Thailand"
"MW946460.1|1997"	"Thailand"
"AY496879.2|1997"	"Philippines"
